id,dateAdded,dateUpdated,name,brand,manufacturer,categories,primaryCategories,reviews.date,reviews.didPurchase,reviews.doRecommend,reviews.numHelpful,reviews.rating,reviews.title,reviews.text,reviews.username,sentiment,productPrice
syn2-0000001,2022-07-29,2022-07-29,Sonave Air Buds 2,Sonave,Sonave Audio,Headphones; Electronics & Accessories,Electronics,2026-08-03,true,true,2,4,Solid product,"The device handles normal use without lag. The headphones features are practical, and the overall experience has been reliable. It does what I need without unnecessary fuss.",ananyajain814,positive,117.2
syn2-0000002,2023-05-17,2023-05-17,Corevolt PowerBank 20K,Corevolt,Corevolt Power,Chargers & Power; Electronics & Accessories,Electronics,2023-11-22,true,true,0,4,Great purchase,"The product arrived in good condition and works as described. The charger features are practical, and the overall experience has been reliable. It does what I need without unnecessary fuss.",saraiyer847,positive,49.38
syn2-0000003,2025-02-23,2025-02-23,Trackline Pro Wireless,Trackline,Trackline Computing,Mice; Electronics & Accessories,Computers,2026-02-28,true,true,3,4,Solid product,"The product arrived in good condition and works as described. For the price, the overall value is excellent. It exceeded my expectations.",aaravpillai987,positive,39.6
syn2-0000004,2022-03-07,2022-03-07,Echofield Home Max,Echofield,Echofield Audio,Smart Speakers; Electronics & Accessories,Electronics,2024-03-03,true,false,5,2,Not worth the price,The product arrived with a minor defect. The smart speaker features feel limited compared to similar products. I ran into the same issue more than once.,aaravmenon750,negative,81.11
syn2-0000005,2022-03-03,2022-03-03,Visicore View 24,Visicore,Visicore Display,Monitors; Electronics & Accessories,Computers,2023-09-06,true,true,0,5,Happy with it,"The product arrived in good condition and works as described. For the price, the overall value is excellent. Overall, this has been a great purchase.",priyapillai941,positive,128.94
syn2-0000006,2022-07-29,2022-07-29,Sonave Air Buds 2,Sonave,Sonave Audio,Headphones; Electronics & Accessories,Electronics,2025-10-02,true,true,3,5,Works very well,"Setup was quick and the build quality feels solid. For the price, the overall value is excellent. The difference is noticeable in everyday use.",diyadas246,positive,111.53
syn2-0000007,2022-02-24,2022-02-24,Trackline Glide Mouse,Trackline,Trackline Computing,Mice; Electronics & Accessories,Computers,2024-05-21,false,true,2,3,Decent but basic,"Setup was straightforward, nothing stood out either way. The mouse features are fine, nothing special either way. I tested it on multiple days before writing this.",meerajain742,neutral,22.44
syn2-0000008,2022-03-03,2022-03-03,Visicore View 24,Visicore,Visicore Display,Monitors; Electronics & Accessories,Computers,2025-07-05,true,false,3,5,Solid product,"Setup was quick and the build quality feels solid. For the price, the overall value is excellent. Overall, this has been a great purchase.",ananyanair798,positive,167.3
syn2-0000009,2025-04-24,2025-04-24,Streamora Box Pro,Streamora,Streamora Media,Streaming Devices; Electronics & Accessories,Electronics,2026-07-13,true,false,1,2,Would not recommend,After a few weeks the performance started to drop off. The streaming features feel limited compared to similar products. It fell short of what was advertised.,kabirkapoor208,negative,83.33
syn2-0000010,2022-03-07,2022-03-07,Echofield Home Max,Echofield,Echofield Audio,Smart Speakers; Electronics & Accessories,Electronics,2026-06-15,false,false,5,2,Frustrating to use,"Setup took longer than expected and support was slow to respond. For the price, I expected more reliability. It fell short of what was advertised.",ananyamenon431,negative,89.68
syn2-0000011,2022-02-21,2022-02-21,NimbusTech Motion Sensor 3-Pack,NimbusTech,NimbusTech Home,Smart Home; Electronics & Accessories,Electronics,2023-06-29,false,true,1,5,Excellent value,"The product arrived in good condition and works as described. For the price, the overall value is excellent. It exceeded my expectations.",adityajain231,positive,36.15
syn2-0000012,2025-05-17,2025-05-17,Keyforge K78 Wireless,Keyforge,Keyforge Computing,Keyboards; Electronics & Accessories,Computers,2026-06-07,true,true,2,5,Works very well,"The device handles normal use without lag. The keyboard features are practical, and the overall experience has been reliable. It does what I need without unnecessary fuss.",arjundas629,positive,59.12
syn2-0000013,2022-08-17,2022-08-17,NimbusTech Hub X1,NimbusTech,NimbusTech Home,Smart Home; Electronics & Accessories,Electronics,2025-12-03,true,true,2,4,Works very well,"The product arrived in good condition and works as described. For the price, the overall value is excellent. It exceeded my expectations.",aaraviyer980,positive,75.92
syn2-0000014,2025-05-17,2025-05-17,Keyforge K78 Wireless,Keyforge,Keyforge Computing,Keyboards; Electronics & Accessories,Computers,2025-07-23,false,true,1,5,Great purchase,"The device handles normal use without lag. For the price, the overall value is excellent. It does what I need without unnecessary fuss.",devdas926,positive,58.32
syn2-0000015,2022-07-11,2022-07-11,Visicore View 27Q,Visicore,Visicore Display,Monitors; Electronics & Accessories,Computers,2024-10-29,true,true,4,4,Works very well,"The device handles normal use without lag. The monitor features are practical, and the overall experience has been reliable. The difference is noticeable in everyday use.",diyagupta919,positive,254.94
syn2-0000016,2023-04-03,2023-04-03,Litherum Page One,Litherum,Litherum Reading,E-Readers; Electronics & Accessories,Electronics,2025-08-14,true,false,2,2,Too many issues,"The product arrived with a minor defect. The e-reader features feel limited compared to similar products. Overall, I would not buy this again.",aaravdas927,negative,110.83
syn2-0000017,2023-07-18,2023-07-18,Corevolt 65W GaN Charger,Corevolt,Corevolt Power,Chargers & Power; Electronics & Accessories,Electronics,2024-11-13,true,false,1,2,Underwhelming,"Setup took longer than expected and support was slow to respond. For the price, I expected more reliability. I ran into the same issue more than once.",diyaiyer499,negative,37.17
syn2-0000018,2025-05-17,2025-05-17,Keyforge K78 Wireless,Keyforge,Keyforge Computing,Keyboards; Electronics & Accessories,Computers,2026-04-20,true,true,3,5,Happy with it,"The device handles normal use without lag. The keyboard features are practical, and the overall experience has been reliable. The difference is noticeable in everyday use.",priyamenon853,positive,60.75
syn2-0000019,2024-10-31,2024-10-31,Keyforge Glide M2,Keyforge,Keyforge Computing,Keyboards; Electronics & Accessories,Computers,2026-04-27,false,true,4,2,Too many issues,"The product arrived with a minor defect. The keyboard features feel limited compared to similar products. Overall, I would not buy this again.",devverma222,negative,45.29
syn2-0000020,2022-07-11,2022-07-11,Visicore View 27Q,Visicore,Visicore Display,Monitors; Electronics & Accessories,Computers,2026-03-18,true,false,6,4,Excellent value,"Setup was quick and the build quality feels solid. For the price, the overall value is excellent. The difference is noticeable in everyday use.",ishagupta344,positive,213.82
